position,company,valoracion_empresa,city,country,contract_type,salary,min_exp,url
DATA SCIENTIST JUNIOR / DATA ENGINEER JUNIOR.,"Tinamica, S.L.",86.0,Madrid,España,"Formativo, jornada parcial - mañana",No disponible,No requerida,https://www.infojobs.net/madrid/data-scientist-junior-data-engineer-junior./of-i9719f699ee43c5892ba60928191191?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Scientist,Consultoría y TI - INECO,85.0,Madrid,España,"De duración determinada, jornada completa",No disponible,Al menos 4 años,https://www.infojobs.net/madrid/data-scientist/of-iedf33f170f4f8f8b597ea4e46d67ce?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Analista programador / Data Scientist,GRUPO SIA,76.0,Elche/Elx,España,"Indefinido, jornada completa",18.000€ - 36.000€ bruto/año,Al menos 3 años,https://www.infojobs.net/elche-elx/analista-programador-data-scientist/of-i617d453cf647d5bf002dae5a1eece5?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
R Data Scientist (Bruselas - TELETRABAJO).,abde business consulting,,Madrid,España,"Indefinido, jornada completa",54.000€ - 64.000€ bruto/año,Más de 5 años,https://www.infojobs.net/madrid/r-data-scientist-bruselas-teletrabajo-./of-ie13bb49b954b84b1e57e315cf3a796?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Scientist - Temporal con posibilidad de prórroga,Computer Space,88.0,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/madrid/data-scientist-temporal-con-posibilidad-prorroga/of-ic8100827844dca82c36548aa0e24cf?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Scientist Python,Grupo RETAbet,82.0,Zamudio,España,"Indefinido, jornada completa",No disponible,Al menos 1 año,https://www.infojobs.net/zamudio/data-scientist-python/of-i73507aae11448685a8479415897fd5?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Informàtic: Data Analist,FORMAT EN FORMACIO PRESSIONAL S.L.,,Cerdanyola Del Vallès,España,"De duración determinada, jornada intensiva - mañana",1.800€ - 3.000€ bruto/mes,Al menos 1 año,https://www.infojobs.net/cerdanyola-del-valles/informatic-data-analist/of-i67da208a9e4c0f86e56d49e5191eb8?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Statistics Lifescience Background (German Speaker),IQVIA,92.0,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/madrid/statistics-lifescience-background-german-speaker/of-if283a39f34453fb10252ac7596349f?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Prácticas Big Data/Analytics,Capgemini,79.0,Murcia,España,"Otros contratos, jornada parcial - mañana",No disponible,No requerida,https://www.infojobs.net/murcia/practicas-big-data-analytics/of-ida7ff51e564f7ba89aa699c9794cdf?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Big Data Engineer - Google Cloud (Work from home),Webhelp Spain,88.0,Barcelona,España,"Indefinido, jornada completa",27.000€ - 33.000€ bruto/año,No requerida,https://www.infojobs.net/barcelona/big-data-engineer-google-cloud-work-from-home/of-ie03934f33448979eaf93d4c5adbb4b?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
DATA MASKING - INFORMÁTICA,"Infortec Consultores, S.A.U-.Zona Centro",75.0,Madrid,España,"Otros contratos, jornada completa",No disponible,Al menos 4 años,https://www.infojobs.net/madrid/data-masking-informatica/of-i8af85e2ffe4091af241d0f3274abec?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Engineer AWS Freelance,Pixie Services,,Madrid,España,"Autónomo, jornada completa",No disponible,Al menos 4 años,https://www.infojobs.net/madrid/data-engineer-aws-freelance/of-i87cc71412b4aef80b5367cdb0b606a?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Matemático para sector IT,Etalentum Group,,Vic,España,"Indefinido, jornada completa",No disponible,Al menos 1 año,https://www.infojobs.net/vic/matematico-para-sector-it/of-i80f72fe18d4b9db41e10baf79c1a84?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Engineer,Sopra Steria,81.0,Valencia,España,"Otros contratos, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/valencia/data-engineer/of-i42554d8fad444d91d6784dfe992d80?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Big Data Engineer Kafka (en remoto),Multinacional Sector IT,,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/madrid/big-data-engineer-kafka-remoto/of-i4d7698fa50455cb100692d4bee2f40?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Big Data Engineer Kafka,Multinacional Sector IT,,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/barcelona/big-data-engineer-kafka/of-ia844b90aa74be48c6c27e946dcff9b?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Machine Learning Engineer,Algoritmia,,Sant Cugat Del Vallès,España,"Indefinido, jornada completa",24.000€ - 30.000€ bruto/año,Al menos 2 años,https://www.infojobs.net/sant-cugat-del-valles/machine-learning-engineer/of-ibe009464fe4dbca9f49a8f6987f73b?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Engineer- Telecom,UMLAUT CONSULTING ENGINEERING SL,,Madrid,España,"Otros contratos, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/madrid/data-engineer-telecom/of-ib02758ca6a4c188ef3cda646268087?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Prácticas Big Data/Analytics Madrid,Capgemini,79.0,Madrid,España,"Formativo, jornada intensiva - mañana",No disponible,No requerida,https://www.infojobs.net/madrid/practicas-big-data-analytics-madrid/of-iab6cfa98434e94b8986fe41dc68aaa?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
DATA ENGINEER SENIOR,MADISON MK,85.0,Valladolid,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/valladolid/data-engineer-senior/of-i3a3b602b584db2ba05a2dc204b5129?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Ingeniero de datos,PROFILE SOFTWARE SERVICES,68.0,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/madrid/ingeniero-datos/of-i061fd040dd497a9d4e6433a757b5e6?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Visualization Expert con Spotfire (Teletrabajo),"PS LAB CONSULTING, S.L.",,Madrid,España,"Otros contratos, jornada completa",30.000€ - 33.000€ bruto/año,Al menos 2 años,https://www.infojobs.net/madrid/data-visualization-expert-con-spotfire-teletrabajo/of-ib27c1a02ee4bdc98c3b3392b83d123?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Científico de datos-Data Science,Cibernos,76.0,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 4 años,https://www.infojobs.net/madrid/cientifico-datos-data-science/of-i81fee9cf744b6eb16c56951533d733?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Engineer (Elasticsearch).,MINSAIT,79.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/barcelona/data-engineer-elasticsearch-./of-id9866ecdce479daf520416171662c3?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Gestor-a de la Informació (data analyst) - Barcelona,CRUZ ROJA ESPAÑOLA,92.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/barcelona/gestor-la-informacio-data-analyst-barcelona/of-i7af31266924347b4defebf55531863?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Engineer,KRELL CONSULTING & TRAINING,79.0,Barcelona,España,"De duración determinada, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/barcelona/data-engineer/of-i65c54d461645b9bedf3b93443560fd?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Engineer,Davidson Consulting España,,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/madrid/data-engineer/of-ia1edf2b31d41ac911135cb1c32071b?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Ingeniero/a Big Data,ALTRAN - Consultores/as,82.0,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/madrid/ingeniero-big-data/of-i0bb5ecb8f7418c88584589343d533d?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Loss Prevention,OpenSpring,,Madrid,España,"Indefinido, jornada completa",No disponible,No requerida,https://www.infojobs.net/madrid/data-loss-prevention/of-i20e73917974d2eb72100f13533a41e?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Responsable Técnico/a  Big Data,INETUM Norte,80.0,Bilbao,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/bilbao/responsable-tecnico-big-data/of-ie15fea5053456c9c63b96583d7ccef?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Experto/a POWER BI Python,RDT INGENIEROS - ofertas de trabajo,,Bilbao,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/bilbao/experto-power-bi-python/of-ic82c2a1fd846189484b63105e0c44c?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Experto Gestión Identidades y Gestión de Accesos,Capgemini,79.0,Madrid,España,"Indefinido, jornada completa",No disponible,Más de 5 años,https://www.infojobs.net/madrid/experto-gestion-identidades-gestion-accesos/of-i0e0800f1054ce7a3a3c5c7d83c804a?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Platform & Governance Manager,Adevinta Spain,97.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/barcelona/data-platform-governance-manager/of-if17902eeaa4038839c865b54c0c113?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
TÉCNICO DATA CENTER con idiomas (H/M),DIGI SPAIN TELECOM,90.0,Mairena Del Aljarafe,España,"Indefinido, jornada completa",No disponible,Al menos 1 año,https://www.infojobs.net/mairena-del-aljarafe/tecnico-data-center-con-idiomas-h-m/of-ie154ab4e1746fd8b6393780436ea10?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Técnico/a Junior Data Center (CPD),Grupo Zelenza,,Barcelona,España,"Otros contratos, jornada completa",No disponible,Al menos 1 año,https://www.infojobs.net/barcelona/tecnico-junior-data-center-cpd/of-ib462bb38374b08adbd223c7f727793?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Ingeniero de Datos-Azure . Ref. 832,M2C,80.0,Madrid,España,"Indefinido, jornada completa",33.000€ - 48.000€ bruto/año,Al menos 4 años,https://www.infojobs.net/madrid/ingeniero-datos-azure-.-ref.-832/of-iebe3fe573049689544b0523dea0ca2?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Engineer AWS,Sopra Steria,81.0,Madrid,España,Jornada completa,No disponible,Al menos 2 años,https://www.infojobs.net/madrid/data-engineer-aws/of-i065244ef214ff7986c1029ee082979?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Research People Scientist,"ATWORK SPAIN, SL ",,Málaga,España,"Indefinido, jornada completa",None,Al menos 2 años,https://www.infojobs.net/malaga/research-people-scientist/of-ia003a29867483a8a4fcc51d709084c?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Research People Scientist,"ATWORK SPAIN, SL ",,Santander,España,"Indefinido, jornada completa",None,Al menos 2 años,https://www.infojobs.net/santander/research-people-scientist/of-i5d04743bc049d39f40e07f7a589ae6?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
